File Name,Pathology_expert_1,Realism_expert_1,Composition_expert_1,Pose_expert_1,Consistency_expert_1,Pathology_expert_2,Realism_expert_2,Composition_expert_2,Pose_expert_2,Consistency_expert_2,prompt
dental_tartar_shown_using_two_images_with_these_two_different_poses_mouth_open_a.png,3,3,3,3.0,3,,,,,,"Dental tartar shown using two images with these two different poses: 'Mouth open, allowing camera to see labial tooth surfaces. Frontal view of patient.' and 'Closed mouth with lips retracted allowing camera to see labial tooth surfaces. Frontal view of patient.'"
digital_clubbing_affecting_fingers_shown_using_two_images_with_these_two_differe.png,3,3,2,3.0,3,3.0,3.0,1.0,2.0,1.0,"Digital clubbing affecting fingers shown using two images with these two different poses: 'Fingers extended, providing camera with a dorsal view of hands' and 'Lateral view of index fingers, with other fingers curled in, allowing assessment of Lovibond angles'"
excessively_flat_foot_arches_with_rigid_flatfoot_shown_using_two_images_with_the.png,3,3,2,3.0,3,,,,,,Excessively flat foot arches with rigid flatfoot shown using two images with these two different poses: 'Neutral standing position. View of medial aspect of the foot.' and 'Neutral standing position. View of lateral aspect of the foot.'
fracture_of_the_distal_tibia_closed_fracture_shown_using_two_images_with_these_t.png,1,3,3,2.0,1,,,,,,Fracture of the distal tibia (closed fracture) shown using two images with these two different poses: 'Neutral sitting position with ankles extended and toes pointed as much as possible without severe pain. Superior view of patient.' and 'Neutral sitting position in chair with feet resting on the ground. Frontal view of patient.'
goiter_shown_using_two_images_with_these_two_different_poses_neutral_sitting_pos.png,3,3,3,3.0,2,3.0,3.0,3.0,3.0,3.0,Goiter shown using two images with these two different poses: 'Neutral sitting position. Frontal view of patient.' and 'Neutral sitting position. Lateral view of patient.'
gum_hyperplasia_shown_using_two_images_with_these_two_different_poses_closed_mou.png,3,2,3,3.0,3,3.0,2.0,3.0,2.5,3.0,Gum hyperplasia shown using two images with these two different poses: 'Closed mouth with lips retracted allowing camera to see buccal tooth surfaces. Lateral view of patient.' and 'Closed mouth with lips retracted allowing camera to see labial tooth surfaces. Frontal view of patient.'
hyperlordosis_shown_using_two_images_with_these_two_different_poses_neutral_stan.png,2,3,3,3.0,3,0.0,3.0,3.0,3.0,3.0,"Hyperlordosis shown using two images with these two different poses: 'Neutral standing position. Posterior view of patient.' and 'Standing with straight legs and bending forward at the hips, head and arms dangling towards floor. Posterior view of patient.'"
hypodontia_shown_using_two_images_with_these_two_different_poses_mouth_open_allo.png,3,3,3,2.0,3,,,,,,"Hypodontia shown using two images with these two different poses: 'Mouth open, allowing camera to see proximal tooth surfaces. Frontal view of patient.' and 'Smiling with lips fully retracted. Frontal view of patient.'"
kyphosis_due_to_poor_posture_not_a_structural_abnormality_shown_using_two_images.png,3,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,"Kyphosis due to poor posture, not a structural abnormality shown using two images with these two different poses: 'Neutral standing position representing patient's usual posture. Lateral view of patient.' and 'Standing position where patient stands as straight as possible. Lateral view of patient.'"
mallet_finger_shown_using_two_images_with_these_two_different_poses_hand_loosely.png,0,3,3,3.0,3,0.0,3.0,3.0,2.5,3.0,"Mallet finger shown using two images with these two different poses: 'Hand loosely placed on a table, palm down and fingers extended to the extent possible. Superior view of patient.' and 'Hand raised in the air, fingers extended to the extent possible. Frontal view of patient.'"
microcephaly_shown_using_two_images_with_these_two_different_poses_neutral_sitti.png,1,3,3,2.5,3,1.0,3.0,3.0,1.5,3.0,"Microcephaly shown using two images with these two different poses: 'Neutral sitting position, head facing forward. Frontal view of patient.' and 'Neutral sitting position, head turned to the side. Frontal view of patient.'"
neck_hump_shown_using_two_images_with_these_two_different_poses_neutral_sitting_.png,3,2,3,3.0,3,,,,,,Neck hump shown using two images with these two different poses: 'Neutral sitting position. Posterior view of patient.' and 'Neutral sitting position. Lateral view of patient.'
notch_in_ear_shown_using_two_images_with_these_two_different_poses_neutral_sitti.png,3,3,3,2.5,3,3.0,3.0,3.0,3.0,3.0,"Notch in ear shown using two images with these two different poses: 'Neutral sitting position, head facing forward. Frontal view of patient.' and 'Neutral sitting position, head turned to the side to show affected ear. Frontal view of patient.'"
overbite_shown_using_two_images_with_these_two_different_poses_facing_forward_an.png,2,3,3,3.0,3,,,,,,Overbite shown using two images with these two different poses: 'Facing forward and smiling with teeth exposed. Frontal view of patient.' and 'Facing forward and smiling with teeth exposed. Lateral view of patient.'
pectus_carinatum_non_sexual_medical_image_of_male_patient_shown_using_two_images.png,0,3,3,3.0,3,1.0,2.0,2.0,1.0,3.0,"Pectus carinatum (non-sexual, medical image of male patient) shown using two images with these two different poses: 'Neutral standing position. Lateral view of patient.' and 'Standing position with hands behind head. Lateral view of patient.'"
pectus_excavatum_non_sexual_medical_image_of_male_patient_shown_using_two_images.png,1,3,1,3.0,3,,,,,,"Pectus excavatum (non-sexual, medical image of male patient) shown using two images with these two different poses: 'Neutral standing position. Lateral view of patient.' and 'Standing position with hands behind head. Lateral view of patient.'"
polydactyly_affecting_fingers_shown_using_two_images_with_these_two_different_po.png,3,1,3,3.0,3,,,,,,"Polydactyly affecting fingers shown using two images with these two different poses: 'Patient lifting hands up with fingers extended. Frontal view of patient.' and 'Both hands resting on a table, palm down and fingers extended to the extent possible. Superior view of patient.'"
preauricular_pit_with_swelling_due_to_infection_shown_using_two_images_with_thes.png,2,3,3,3.0,3,3.0,3.0,3.0,2.5,3.0,Preauricular pit with swelling due to infection shown using two images with these two different poses: 'Neutral sitting position and facial expression. Head turned to the side so the affected ear is clearly visible. Frontal view of patient.' and 'Neutral sitting position and facial expression. Head turned to the side so the affected ear is clearly visible. Zoom in on the ear. Frontal view of patient.'
rhinophyma_shown_using_two_images_with_these_two_different_poses_neutral_sitting.png,3,2,3,3.0,3,,,,,,Rhinophyma shown using two images with these two different poses: 'Neutral sitting position. Frontal view of patient.' and 'Neutral sitting position. Lateral view of patient.'
saddle_nose_deformity_shown_using_two_images_with_these_two_different_poses_neut.png,2,3,3,2.5,3,,,,,,"Saddle nose deformity shown using two images with these two different poses: 'Neutral sitting position, head facing forward. Frontal view of patient.' and 'Neutral sitting position, head turned to the side. Frontal view of patient.'"
scoliosis_shown_using_two_images_with_these_two_different_poses_neutral_standing.png,0,3,3,2.0,3,,,,,,"Scoliosis shown using two images with these two different poses: 'Neutral standing position. Posterior view of patient.' and 'Standing with straight legs and bending forward at the hips, head and arms dangling towards floor. Posterior view of patient.'"
shoulder_dislocation_shown_using_two_images_with_these_two_different_poses_neutr.png,1,3,3,3.0,3,,,,,,Shoulder dislocation shown using two images with these two different poses: 'Neutral sitting position with arms resting at sides. Frontal view of patient.' and 'Neutral sitting position with arms resting at sides. Lateral view of patient with affected shoulder visible'
sublaxation_of_patella_shown_using_two_images_with_these_two_different_poses_neu.png,0,3,3,3.0,2,,,,,,Sublaxation of patella shown using two images with these two different poses: 'Neutral standing position. Frontal view of patient.' and 'Neutral sitting position. Frontal view of patient.'
swan_neck_contracture_with_rigid_hyperextension_of_the_proximal_interphalangeal_.png,0,3,3,3.0,3,2.0,3.0,3.0,1.5,3.0,"Swan neck contracture with rigid hyperextension of the proximal interphalangeal joint shown using two images with these two different poses: 'Hand resting on a table, palm down and fingers extended to the extent possible. Superior view of patient.' and 'Make a fist, fingers flexed where possible. Frontal view of patient.'"
syndactyly_affecting_fingers_shown_using_two_images_with_these_two_different_pos.png,0,3,3,3.0,3,3.0,3.0,3.0,3.0,1.0,"Syndactyly affecting fingers shown using two images with these two different poses: 'Patient lifting hands up with fingers extended. Frontal view of patient.' and 'Both hands resting on a table, palm down and fingers extended to the extent possible. Superior view of patient.'"
tooth_erosion_shown_using_two_images_with_these_two_different_poses_teeth_togeth.png,3,3,3,3.0,3,1.0,3.0,3.0,3.0,1.0,"Tooth erosion shown using two images with these two different poses: 'Teeth together, as if biting. Frontal view of patient.' and 'Mouth open, allowing camera to see proximal tooth surfaces. Frontal view of patient.'"
torticollis_with_limited_lateral_flexion_on_both_sides_shown_using_two_images_wi.png,3,3,3,2.5,2,,,,,,Torticollis with limited lateral flexion on both sides shown using two images with these two different poses: 'Neutral sitting position. Frontal view of patient.' and 'Neutral sitting position. Lateral view of patient.'
trigger_finger_tenosynovitis_where_affected_fingers_cannot_actively_extend_shown.png,0,1,3,2.0,3,1.0,1.0,3.0,2.0,3.0,"Trigger finger tenosynovitis, where affected finger(s) cannot actively extend shown using two images with these two different poses: 'Affected hand(s) curled in a fist. Frontal view of patient.' and 'Affected hand(s) with fingers extending to the extent possible, without external assistance. Palms should face camera. Frontal view of patient.'"
unilateral_drooping_eyelid_due_to_levator_muscle_weakness_shown_using_two_images.png,0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,"Unilateral drooping eyelid due to levator muscle weakness shown using two images with these two different poses: 'Neutral facial expression, gaze directed forward. Frontal view of patient.' and 'Neutral facial expression, gaze directed upwards. Frontal view of patient.'"
unilateral_foot_drop_with_minimal_dorsiflexion_leading_to_high_stepping_gait_whe.png,1,3,3,3.0,1,3.0,3.0,1.0,2.0,1.0,"Unilateral foot drop with minimal dorsiflexion, leading to high-stepping gait when stepping forward with the affected foot shown using two images with these two different poses: 'Neutral sitting position with legs extended in front. Patient dorsiflexes both feet to the extent possible. Superior view of patient.' and 'Swing phase of gait, where affected foot is stepping foward and lifted to its highest point. Frontal view of patient.'"
